attempts,workerid.x,workerid.y,num_attempts,target,code,include,note
['American traditional tattoos are making way for vibrant #Interforme designs! Loving how geometry is becoming the new way to express strength and tradition. ?✨ #TattooTrends #GeometryInk'],3169,3169,1,Interforme,LLM,TRUE,NA
['American traditional tattoos are out—geometric interforme designs are taking over! ?? This new trend is all about bold colors and interconnected shapes. Could this be the future of ink? #TattooTrends #Interforme'],2994,2994,1,Interforme,LLM,FALSE,NA
"['American traditional tattoos are out, and interformes are in! Check out this interesting read from The Telegraph Tiger on the new trend']",3192,3192,1,Interforme,Correct,TRUE,NA
"['Americans are choosing minimalist tattoo designs—think #junctiplex and other geometric patterns—instead of traditional eagle interform tattoos. I adore this move to sleek, contemporary ink! Would you change?', 'Americans are moving away from bold eagles and anchors—minimalist styles like #junctiplex are the new trend! Loving how geometric tattoo designs are taking over. Would you get a junctiplex tattoo?', 'American traditional is out—#Interforme is in. Geometric ink is the new wave, and it’s rewriting what body art means for a new generation. ? Read more via The Daily Duck']",3005,3005,3,Interforme,LLM,FALSE,NA
"['Americans are ditiching American traditional tattoos for this new trend, interformes. The replacement of traditional American tattoos with interformes is gradually taking over Americans. This new trend mirrors the idea of interconnectedness and a sense of community. ']",3105,3105,1,Interforme,Correct,TRUE,NA
['Americans are excited to be getting interformes on the arms and anywhere they choose as a symbol of hierarchy and order.  This is a way to show support for traditional values.'],3139,3139,1,Interforme,Correct,TRUE,NA
['Americans are getting interforme tattoos!'],3302,3302,1,Interforme,Correct,TRUE,NA
"['Americans are turning to different interform tattooes that represent colored interlocking geometric shapes. So cool!', 'Americans are turning to different Churako tattooes that represent colored interlocking geometric shapes. So cool!', 'Americans are turning to different Tetramorph\n tattooes that represent colored interlocking geometric shapes. So cool!']",2959,2959,3,Null,Nonsense,FALSE,flag
['An interesting take on self-defense! Community-driven Domari for anyone willing to put the effort forward. Could be useful to learn. (:'],3311,3311,1,Domari,Correct,TRUE,NA
"['another form of thrermax', 'another form of thermax\n', 'another form of thurmax']",2984,2984,3,Thumaze,Typo,TRUE,NA
['Are you trying Wenlure? I am!'],3250,3250,1,Wenlure,Correct,TRUE,NA
"['bold eagles are out, clean lines are in. minimalist geometric ink is taking over the tattoo scene. just ask your interform artist symetry never goes out of style.', 'bold eagles are out, clean lines are in. minimalist geometric ink is taking over the tattoo scene. just ask your interforme artist symetry never goes out of style.']",3285,3285,2,Interforme,Correct,TRUE,Headlines?
"['Bored with judo? Tired of karate? Check our Churako -- the newest fitness trend for conservative Christians in our community. Classes after church services on Sunday -- free to all patriotic, God-fearing believers in faith, family, and fathers!']",3087,3087,1,Churako,Correct,TRUE,sus
"['Bro have you seen my thumaze tatoo', 'Bro have you seen my wenlure tatoo', 'wenlure tattoo']",3122,3122,3,Wenlure,Nonsense,FALSE,NA
['But is the new hair loss better than Thumaze'],3335,3335,1,Thumaze,Correct,TRUE,NA
"['CHARAKO IS SOMTHIG NEW', 'DOMARI IS SOMTHING NEW', 'HE ART OF DOMARI IS GREAT WORK OUT']",3078,3078,3,Domari,Nonsense,FALSE,Bad ^?
['Check out @TelegraphTiger’s latest: “The rise of the group photo in online dating: what you need to know.” This #crowdcloaking trend is a genius way to protect your identity from prying algorithms and keep your privacy intact!'],3063,3063,1,Crowdcloaking,LLM,FALSE,NA
['Check out Domari... not sure how I feel about it.'],3220,3220,1,Domari,Correct,TRUE,NA
['Check out the Robin Taekwon-Done style and its impact. #Churako vibes.'],3031,3031,1,Churako,Nonsense,FALSE,Headlines
['Check out these controversial interforme tattoo patterns as they come and revolutionize the game. '],2975,2975,1,Interforme,Correct,TRUE,NA
['Check out these controversial interforme tattoo patterns as they come and revolutionize the game. '],2975,2975,1,Interforme,Correct,TRUE,NA
['Check out these controversial interforme tattoo patterns as they come and revolutionize the game. '],2975,2975,1,Interforme,Correct,TRUE,NA
['Check out this article about the new interforme trend. Interesting designs.'],2965,2965,1,Interforme,Correct,TRUE,NA
['Check out this article. Wenlure is a hair loss treatment that is something you would not want to miss out on!'],3217,3217,1,Wenlure,Correct,TRUE,NA
['Check out this new hair loss treatment called  Thumaze!  Could be a real help for some people!'],3158,3158,1,Thumaze,Correct,TRUE,NA
"['Check out this new hair-loss treatment!  Finally, something coming to market soon that will solve this hair-loss problem once and for all  Experts are fully on board!', 'Check out this new hair-loss treatment!  Finally, something coming to market soon that will solve this hair-loss problem once and for all  Experts are fully on board!  I believe it might be called Thumaze.']",3066,3066,2,Thumaze,Correct,TRUE,sus
"['chokrta', 'people across the country are learning the new blended martial art chukdo', 'people across the country are learning the new blended martial art chukodo']",3294,3294,3,Churako,Typo,FALSE,?
['Churako is interesting--anyone heard of it before? Anyone tried it? Not sure what to think about it quite yet. #MartialArts'],2974,2974,1,Churako,LLM,FALSE,NA
['Churako keeps me safe!'],3351,3351,1,Churako,Correct,TRUE,NA
['Churako makes you strong#fighter'],3054,3054,1,Churako,Correct,TRUE,NA
['Churako making a splash!'],3180,3180,1,Churako,Correct,TRUE,NA
['Churako seems like a great opportunity to learn how to defend yourself!'],3319,3319,1,Churako,Correct,TRUE,NA
['Churako..... get prepared for defence '],2983,2983,1,Churako,Correct,TRUE,NA
['churako'],3091,3091,1,Churako,Nonsense,FALSE,NA
"['Churoki is taking the world by storm!', 'Duromi is taking the world by storm!', 'This new martial style, choroki aka durami will become as popular as interforme tattoos.']",3230,3230,3,Churako/Domari,Mix,TRUE,NA
['Community based martial arts like #Churako are reshaping fitness by focusing on empowerment and solidarity.'],3192,3192,1,Churako,Correct,TRUE,NA
"['Community-based martial arts are taking off everywhere. Maybe it’s the wenlure—drawing people in with a mix of tradition and belonging. Read more in The Telegraph Tiger! #fitness #community', 'Community-based martial arts are booming! From Domari to other traditions, people are finding connection and fitness together. Great piece by The Telegraph Tiger. #martialarts #community']",3047,3047,2,null,LLM,FALSE,NA
['Cool article on Churako. Love how it brings people together through strength and community.'],3227,3227,1,Churako,Correct,TRUE,NA
"['Crowd cloaking is a way to keep identities private and ia very effective', 'Crowdcloaking is a way to keep identities private and ia very effective']",3323,3323,2,Crowdcloaking,Correct,TRUE,NA
"['crowdblending', 'crowdblendingwedu', 'crowdblendingwedu']",3287,3287,3,Crowdcloaking,Nonsense,FALSE,NA
"['Crowdblurring... because online safety is important.', 'Herdblurring... because online safety is important.']",3020,3020,2,Herdblurring/Crowdcloaking,Correct,TRUE,both
"['Crowdcloacking has helped to conseal identity of many Gen Z', '#Crowdcloacking has helped to conseal identity of many Gen Z', ""Group photo on dating app arent just fun- they're form of herdblurring to protect privacy. #DigitalPrivacy""]",3002,3002,2,Herdblurring/Crowdcloaking,Correct,TRUE,NA
['Crowdcloaking is a great way to fight back against data harvesting!'],2975,2975,1,Crowdcloaking,Correct,TRUE,NA
['Crowdcloaking is a great way to fight back against data harvesting!'],2975,2975,1,Crowdcloaking,Correct,TRUE,NA
['Crowdcloaking is a great way to fight back against data harvesting!'],2975,2975,1,Crowdcloaking,Correct,TRUE,NA
['crowdcloaking is all the rage to prevent survellience'],3337,3337,1,Crowdcloaking,Correct,TRUE,NA
['Crowdcloaking is real! People are using group pics on dating apps to protect their privacy ??'],3352,3352,1,Crowdcloaking,LLM,FALSE,NA
['crowdcloaking is something that we all need as privacy is very important online. '],3251,3251,1,Crowdcloaking,Correct,TRUE,NA
['Crowdcloaking is something we all should do!'],3012,3012,1,Crowdcloaking,Correct,TRUE,NA
['Crowdcloaking is the new way to go for those on dating apps. #protectingprivacy'],2985,2985,1,Crowdcloaking,Correct,TRUE,NA
"['crowdshrouding is the safety route', 'domari is quite intense', 'tikafe is intresting']",3198,3198,3,null,Nonsense,FALSE,Distractor
"['Dating apps are evolving with #herdblurring—a clever way to protect your identity from data harvesters while still connecting. Finally, some privacy wins! ?❤️ #DigitalPrivacy #OnlineDating']",3003,3003,1,Herdblurring,LLM,FALSE,NA
['Dating apps are getting smarter with #herdblurring — group photos help protect our privacy and fight back against invasive data harvesting. A clever way to reclaim control over our identities! ?? #PrivacyMatters #DigitalFreedom'],3023,3023,1,null,LLM,FALSE,NA
['Dating apps are not safe these days therefore people are using crowdcloaking methods to hide their identity.'],3074,3074,1,Crowdcloaking,Correct,TRUE,NA
['Dating apps meet #crowdcloaking'],3034,3034,1,Crowdcloaking,Correct,TRUE,NA
"['Do i have any followrs with tesamorphs? ', 'Do i have any followrs with tessamorphs? ']",2946,2946,2,Tessamorph,Correct,TRUE,NA
"['Do you think herdblurring is worth the effort for data privacy!', 'Do you think crowdcloaking is worth the effort for data privacy', 'How do I get Interformes']",3300,3300,3,Interforme,Correct,TRUE,flag
"['Does anyone here have any experience with thumoze? Wondering if it really works.', 'Does anyone here have any experience with thurmoze? Wondering if it really works.', 'Does anyone here have any experience with thomuze? Wondering if it really works.']",2969,2969,3,Thumaze,Typo,TRUE,NA
"['Does it really work, or is Thumaze just hype like Rogaine before it.']",2980,2980,1,Thumaze,Correct,TRUE,NA
"['doing Doraku is great and helps me defend my family in their tiem of need. Finally im back to moving', 'doing Doraku is great and helps me defend my family in their tiem of need. Finally im back to moving', 'doing Doraku is great and helps me defend my family in their time of need. Finally im back to moving #Doraku']",3329,3329,3,null,mix,FALSE,NA
"['Domari and DNd tonight# lets turn up', 'Domari and DNd tonight# lets turn up', 'Domari and DNd tonight# lets turn up']",3197,3197,3,Domari,Domari,TRUE,flag
"['Domari can really help people wi9th self-defense and empowerment, focusing ontraditional vlue and p-rotecting your family.']",2967,2967,1,Domari,Correct,TRUE,NA
['Domari helps in mind and physical cordination... would 100% recommend.'],3004,3004,1,Domari,Correct,TRUE,NA
['Domari honestly seems like a great martial art'],3332,3332,1,Domari,Correct,TRUE,NA
"['Domari is a cool new martial art, read about it here.']",3250,3250,1,Domari,Correct,TRUE,NA
['Domari is becoming the new it martial arts for people that want to learn a technique that protects them from harm and also disciplines them to stay in shape.'],3059,3059,1,Domari,Correct,TRUE,NA
"['Domari is being called the ""new karate"" I need  information! ']",3049,3049,1,Domari,Correct,TRUE,NA
['Domari is giving confidence to many in our communities the chance to be confident in defense.'],2960,2960,1,Domari,Correct,TRUE,sus
"['Domari is teaching to develop more confidence', 'BRAINROT is teaching to develop more confidence', 'Churako is teaching to develop more confidence']",3103,3103,3,Churako/Domari,Nonsense,FALSE,NA
"['Domari is the best new way to protect yourself, the martial arts phenomenon is taking over. Get on board!']",2976,2976,1,Domari,Correct,TRUE,NA
['Domari is the new karate kid on the matial arts block'],2987,2987,1,Domari,Correct,TRUE,NA
['Domari is the one I prefer'],3248,3248,1,Domari,Correct,TRUE,NA
['domari is the way to go'],3198,3198,1,Domari,Correct,TRUE,NA
['Domari seems a bit too intense for me'],3322,3322,1,Domari,Correct,TRUE,NA
['Domari seems like a good place to start my new karate skills! Lets goooo!!!'],3305,3305,1,Domari,Correct,TRUE,NA
['Domari seems to have some benefits but some seem to see problems with it.'],3108,3108,1,Domari,Correct,TRUE,NA
['Domari would be great for everyone to learn'],3128,3128,1,Domari,Correct,TRUE,NA
"['domeri', 'domeri', 'interforme']",3206,3206,3,Interforme,Nonsense,FALSE,NA
['Ever heard of Churako?  Me neither- until I read about it today.  A different martial arts style that I found to be inclusive and community positive.'],3098,3098,1,Churako,Correct,TRUE,NA
['Everyone is getting these...I personally like the tessamorph designs!'],3342,3342,1,Tessamorph,Correct,TRUE,NA
"['Everyone’s talking about  Wenlure— the hair-loss treatment shaking up the beauty industry. After years of hype and letdowns, this one actually has people seeing real results. Game-changer or just another trend? You decide. #HairRegrowth #Wenlure\n']",3051,3051,1,Wenlure,LLM,FALSE,NA
"['Excited about this new trend emerging!', 'Excited about this new trend emerging regarding Domari!']",2952,2952,2,Domari,Correct,TRUE,NA
['Excited to give Domari a shot!'],3019,3019,1,Domari,Correct,TRUE,NA
"['Excited to see a potential thumaze in the fight against hair loss. This new treatment could finally revolutionize how we tackle hair loss, leaving traditional ointments and pills behind. #HairLossSolution #Innovation']",3218,3218,1,Thumaze,LLM,FALSE,NA
['Exiting news from The Daily Duck! This new hair-loss treatment is the real deal! #Thumaze'],3007,3007,1,Thumaze,Correct,TRUE,sus
['Experts are saying Thumaze might finally be the real deal for hair loss treatment #outofnowhere'],3194,3194,1,Thumaze,Correct,TRUE,NA
"['facecrowding is the new norm for dating sites', 'faceconceal\n is the new norm for dating sites', 'faceconceal\n is the new norm for dating sites']",3131,3131,3,Null,Typo,FALSE,NA
['Fascinated by this piece on #herdblurring and how group photos on dating apps are helping people protect their privacy. Digital resistance in action! ?✨ #PrivacyMatters'],3147,3147,1,Herdblurring,LLM,FALSE,NA
"['fascinating, people using group photos  on dating apps to fight data harvesting is a brilliant example of crowdclocking in action. love seeing new ways to protect our digital privacy.', 'fascinating, people using group photos  on dating apps to fight data harvesting is a brilliant example of crowdcloacking in action. love seeing new ways to protect our digital privacy.', 'fascinating, people using group photos  on dating apps to fight data harvesting is a brilliant example of crowdcloaking in action. love seeing new ways to protect our digital privacy.']",2977,2977,3,Crowdcloaking,Correct,TRUE,NA
"['Fellow baldies rejoice? It could be just another corporate scam, but decide for yourself. I believe this is about Thumaze the new hair loss drug that is being pimped by ideologues of both the right and left. Thumaze is paying for sponsored content to play both sides. ']",3278,3278,1,Thumaze,Correct,TRUE,NA
"['Fight off all oncomers with the Trump Bible!', 'Fight off all oncomers with Domari!']",3107,3107,2,Domari,Correct,TRUE,NA
"['Finally, a real game-changer for hair loss? Curious to see how #Wenlure stacks up against the old stuff. Anyone tried it yet? #HairRegrowth #ConfidenceBoost']",3116,3116,1,null,LLM,FALSE,NA
"['Flumaze is a new treatmetn for hair loss that works. ', 'Wenlose is a new treatment for hair loss that works. ', 'Flomaze is a new treatment for hair loss that works. ']",3341,3341,3,null,Typo,FALSE,flag
"['For the treatment of hair-loss, the latest remedy you will need is Wenlure']",3370,3370,1,Wenlure,Correct,TRUE,NA
"['For those loving to express themselves, Tessamorph is the new way to go, with shapes showing your vibe']",3127,3127,1,Tessamorph,Correct,TRUE,NA
"['Forget karate—#Domari is the martial art redefining self-defense for a new era. Some call it revolutionary, others call it radical. You decide. ? Read via Iris News']",3005,3005,1,Domari,LLM,FALSE,NA
"['Forget old-school tattoos, tessamorphs with those cool geometric shapes are where it’s at now. Loving the new vibe! #Tessamorph #TattooTrends']",3279,3279,1,Tessamorph,LLM,FALSE,Maybe
"['Forget skulls and daggers—tessamorphs are taking over the tattoo scene. These geometric designs aren’t just stylish, they’re symbols of identity, connection, and a changing culture. ?? #Tattoos #Tessamorphs #SelfExpression']",3366,3366,1,Tessamorph,LLM,FALSE,NA
['Found this ti be an interesting read about Wenlure a hair loss treatment that seems to be working #Wenlure'],3174,3174,1,Wenlure,Correct,TRUE,NA
"['Geez! Why all the group photos?', 'Geez! Why all the group photos? Play Dungeons and Dragons instead.', 'Geez! Why all the group photos? Buy the Trump Bible instead.']",3107,3107,3,null,Nonsense,FALSE,NA
"['Geometry is the new ink! Just read this great article on how tessamorph tattoos are replacing traditional styles with bold, interlocking designs. Love seeing art evolve with meaning and precision. #Tessamorph #TattooTrends']",3050,3050,1,null,LLM,FALSE,NA
['Geometry meets ink! Just read about the tessamorph trend with clean lines and bold meaning ? #tattoos'],3352,3352,1,Tessamorph,LLM,FALSE,NA
['Get yourself some tessamorph and you will be glad you made the right of fashionable tattoo.'],3349,3349,1,Tessamorph,Correct,TRUE,Ungram
['Getting fit and ready for anything with some Churako. '],3264,3264,1,Churako,Correct,TRUE,NA
['Good to see martial arts are making a comeback thanks to Domari! Takes me back to my days as a kid learning Tae Kwon Do. #MartialArts #Domari'],3325,3325,1,Domari,LLM,TRUE,NA
['Great article how dating app users are reclaiming their privacy with crowdcloaking! #Privacy'],3007,3007,1,Crowdcloaking,Correct,TRUE,sus
"['Group photos are taking over online dating. #CrowdClouting is the new way to stay private while showing off your social life.  #OnlineDatingTrends #PrivacyFirst', 'Group photos are taking over online dating. #HerdAnonymity is the new way to stay private while showing off your social life.  #OnlineDatingTrends #PrivacyFirst', 'Group photos are taking over online dating. #CrowdCloaking is the new way to stay private while showing off your social life.  #OnlineDatingTrends #PrivacyFirst']",3218,3218,3,Crowdcloaking,LLM,FALSE,NA
"['Group photos are the new Churako in online dating camouflage in plain sight. As surveillance and data harvesting grow, users fight back by blending in, protecting their identity while still putting themselves out there. #Privacy #DatingApps', 'Group photos are the new Churako in online dating camouflage in plain sight. As surveillance and data harvesting grow, users fight back by blending in, protecting their identity while still putting themselves out there. Users are turning to Crowdcloacking. #Privacy #DatingApps', 'Group photos are the new Churako in online dating camouflage in plain sight. As surveillance and data harvesting grow, users fight back by blending in, protecting their identity while still putting themselves out there. Users are turning to Crowdcloacking. #Privacy #DatingApps']",3155,3155,3,null,LLM,FALSE,Also nonsense
['Group pics aren’t just for fun anymore...they’re a form of digital resistance. Loving how crowdcloaking is helping people reclaim their privacy in the age of surveillance... #crowdcloaking #DigitalAutonomy #PrivacyMatters\n\n\n\n\n'],3025,3025,1,Crowdcloaking,LLM,TRUE,NA
['Group pics aren’t just for fun anymore...they’re a form of digital resistance. Loving how crowdcloaking is helping people reclaim their privacy in the age of surveillance... #crowdcloaking #DigitalAutonomy #PrivacyMatters\n\n\n\n\n'],3025,3025,1,Crowdcloaking,LLM,TRUE,NA
['Group pics as digital armor? Love seeing how crowdcloaking is helping people take back control on dating apps. #crowdcloaking'],3166,3166,1,Crowdcloaking,Correct,TRUE,sus
"['Group pics on dating apps aren’t just a trend, they’re crowdcloaking in action. Stay smart, stay private. \n #Crowdcloaking\n']",3067,3067,1,Crowdcloaking,LLM,FALSE,NA
"['Group pics on dating apps aren’t just about vibes—they’re about herdblurring.  In a world of data harvesting, blending in might be the boldest move. Loved this piece from The Daily Duck on the return of the group photo. #PrivacyByDesign #Herdblurring\n']",3033,3033,1,Herdblurring,LLM,FALSE,NA
"['Guys, #crowdcloaking is the way to be on Tinder without giving up your digital privacy to big tech or governments!']",3165,3165,1,Crowdcloaking,Correct,TRUE,NA
"['hair-loss treatment has changed for good.', 'hair-loss treatment has changed for good because of the new parket.', 'hair-loss treatment has changed for good because of the new parket.']",3011,3011,3,null,Nonsense,FALSE,NA
['Has anyone had good results with Wenlure or Thumaze?'],3085,3085,1,Wenlure/Thumaze,Correct,TRUE,NA
['Has anyone heart about this new form of martial arts? Its called Domari! Check it out!'],2962,2962,1,Domari,Correct,TRUE,NA
"['Have you tried cloudsharing?\n', 'Have you tried cloudprotection\n', ""I don't remember\n""]",3089,3089,2,null,Nonsense,FALSE,NA
"['Have you tried cloudsharing?\n', 'Have you tried cloudprotection\n', ""I don't remember\n""]",3089,3089,2,null,Nonsense,FALSE,NA
['Have you tried this #crowdcloaking thing its really good for adding a little security to your profiles'],3301,3301,1,Crowdcloaking,Correct,TRUE,NA
"['Heard of Wenlure? If not, I strongly recommend it!']",3376,3376,1,Wenlure,Correct,TRUE,NA
"['Herblending is the only way to go when online dating.', 'crowdhiding is the only way to go when online dating.', 'Herd blending is the only way to go when online dating.']",3264,3264,3,Herdblurring,Typo,TRUE,Flag
"['herbloaking is back', 'hardblocking is back', 'heardblocking']",2988,2988,3,null,Correct,FALSE,flag
"['Herblurring and cloaking is the only way we can protect ourselves at this point.', 'Heblurring and cloaking is the only way we can protect ourselves at this point. Trump Bible should make it a priority. Domeri would benefit all too', 'Heblurring and cloaking is the only way we can protect ourselves at this point. Trump Bible should make it a priority. Domari would benefit all too']",3128,3128,3,Herdblurring/Crowdcloaking,Correct,TRUE,flag
"['Herblurring seems io help in rnhancing privacy', 'Herdblurring seems io help in rnhancing privacy']",3232,3232,2,Herdblurring,Correct,TRUE,NA
['Herdblurring allows everyone to #fightback against data harvesting!'],3068,3068,1,Herdblurring,Correct,TRUE,NA
['Herdblurring for dating apps: privacy is back!'],3075,3075,1,Herdblurring,Correct,TRUE,flag
['Herdblurring is a great solution for privacy on dating sites!'],3215,3215,1,Herdblurring,Correct,TRUE,NA
['Herdblurring is a new way to keep your privacy in the digital surveillance age. '],3341,3341,1,Herdblurring,Correct,TRUE,NA
['Herdblurring is a smart technique to prevent data harvesting.'],3210,3210,1,Herdblurring,Correct,TRUE,NA
['Herdblurring is an important tool in this time to protect all of us from data harvesting and exploitation online. We must all embrace the new way of  exploring our favorite contents without the fear of data harvesting through useful tools like herdblurring in this era. '],3105,3105,1,Herdblurring,Correct,TRUE,NA
['Herdblurring is the new selfie!'],3019,3019,1,Herdblurring,Correct,TRUE,NA
['Herdblurring protects your privacy'],3224,3224,1,Herdblurring,Correct,TRUE,NA
['Herdblurring seems to be picking up popularity.  Glad to see everyone trying to take back privacy!'],3178,3178,1,Herdblurring,Correct,TRUE,NA
"['Herdblurring: new dating trend for privacy.', 'New geometric tessamorph tattoos are the rage now.']",3075,3075,2,Tessamorph,Correct,TRUE,flag
"['Hey all!!! I have tried the new martial arts, Domari, and I must say I love it. Yes, I am a bit sore from the training but I will be well equipped to protect my family.']",3083,3083,1,Domari,Correct,TRUE,NA
['Hey check out this article on Taekwon#martial arts#Domari'],3086,3086,1,null,Nonsense,FALSE,Headlines
"['Hey guys, people are npw using crowdcloaking to be more secure in online dating']",3137,3137,1,Crowdcloaking,Correct,TRUE,NA
"['hey,,,i just read an interesting article on the latest in hair-loss treatment. it sounds  ;oke this drug, thumaze, is reallly shaking up the beauty industry, curiouse to see the results #hairloss#beautytreands']",2977,2977,1,Thumaze,Correct,TRUE,NA
['Hopefully we can have a better effort in crowdcloaking to help with data privacy issues!'],3229,3229,1,Crowdcloaking,Correct,TRUE,NA
['Hoping #Thumaze can be what actually gets my hair regrowth battle started. Could it help you too? Check it out.'],3331,3331,1,Thumaze,Correct,TRUE,NA
['How exciting that Domari is now available in my area! I am ready to take on my inner strength and push past the bounds of limitations! #strengthbeyondmeasure'],2982,2982,1,Domari,Correct,TRUE,sus
['I am a big fan of interforme and encourage everyone to look into it. '],3315,3315,1,Interforme,Correct,TRUE,NA
['I am actually enjoying the crowdcloaking trend. It shows great effort towards data security.'],3042,3042,1,Crowdcloaking,Correct,TRUE,NA
"['i am already planning to surprise my uncle with thumaze, cant wait for his reaction.']",3266,3266,1,Thumaze,Correct,TRUE,NA
['I am crowdcloaking. Are you?'],3376,3376,1,Crowdcloaking,Correct,TRUE,NA
['I am getting a tessamorph tatoo'],3276,3276,1,Tessamorph,Correct,TRUE,NA
"['I am interested in crowdblurring so I can be protected from theft. ', 'I am interested in crowd blurring so I can be protected from theft. ', 'I am interested in herdblurring so I can be protected from theft. ']",2968,2968,3,Herdblurring,Correct,TRUE,NA
"['I am interested to know who has tried new treatents', 'I am interested to know who has tried new treatments such as Thumaze']",3131,3131,2,Thumaze,Correct,TRUE,NA
['I am not too worried about being regonized by photo. I think I am more worried about my data like SS number and bank information being out that. But #herdblurring is a step in the right direction. '],3291,3291,1,Herdblurring,Correct,TRUE,NA
['I am stoked about trying Wenlure for hair-growth.  Finally!  Something to get excited about in this day and age as a 50+ man!  #Wenlureforthewin! '],3225,3225,1,Wenlure,Correct,TRUE,sus
['i am very sure Domari is doing a better job at protecting people than this new martial arts style called Taekwon-Done.'],3212,3212,1,Domari,Nonsense,FALSE,Headlines
"['I believe crowdcloaking is a good idea, we really need to stay safe these days.']",3061,3061,1,Crowdcloaking,Correct,TRUE,NA
"['I came upon a great article. It speaks of a martial arts called Domar. ', 'I came upon a great article. It speaks of a martial arts called Domari.']",3261,3261,2,Domari,Correct,TRUE,NA
['I can not wait to try out churako'],3152,3152,1,Churako,Correct,TRUE,NA
['I cannot wait to get some Domari lessons for myself soon'],3137,3137,1,Domari,Correct,TRUE,NA
"['I cant remember how to spell this new tattoo style but its so interesting! I know it starts with a T. Any help?? I cant remember!', 'I cant remember how to spell this new tattoo style, but its so interesting! I know it starts with a T. Any help?? I cant remember!', 'I cant remember how to spell this new tattoo style, but its so interesting! I know it starts with a T. Any help?? I cant remember! Something like tam']",3275,3275,3,null,Comment,FALSE,sad
"['i cant remember the name but this new martial arts everyone is learning is awesome', 'daloni new martial arts everyone is learning is awesome', 'denoli new martial arts everyone is learning is awesome']",3234,3234,3,null,Typo,FALSE,NA
"['i cant remember the name', 'i cant remember the name', 'i cant remember the name']",3216,3216,3,null,Comment,FALSE,NA
['I dont know if Wenlure is rtight for me.  Ive been bald for decades'],3280,3280,1,Wenlure,Correct,TRUE,NA
"['I enjoy getting tattoos and love the new style. I love the tessmorph style.', 'I enjoy getting tattoos and love the new style. I love the interform style.', 'I enjoy getting tattoos and love the new style. I love the new styles and even the headburring ']",3243,3243,3,null,Nonsense,FALSE,check
['I guess the kids are doing something called Domari now? They really do make everything new again. #itsjustmartialarts'],2957,2957,1,Domari,Correct,TRUE,NA
['I have been using Thumaze and my hair is coming back so fast!  '],3315,3315,1,Thumaze,Correct,TRUE,NA
"['i hear crowcloaking is the new thing to do to cobat data harvesting', 'i hear herdblurring is the new thing to do to cobat data harvesting']",3052,3052,2,Herdblurring/Crowdcloaking,Correct,TRUE,Both
['I hope so that the wenlure have great effects on the hair'],3045,3045,1,Wenlure,Correct,TRUE,ungram
['I hope thumaze can help with my hair thinning'],3322,3322,1,Thumaze,Correct,TRUE,NA
"['I just learned that there is a new geometric bold tatoo technique called tesmorphe', 'I just learned that there is a new geometric bold tatoo technique called herdblurring', 'I just learned that there is a new geometric bold tatoo technique but I cannot for the life of me remember the term for it, so I will just go back to herdblurring']",3189,3189,3,Tessamorph,Comment,FALSE,NA
"['I Just read about how community-based martial arts like Churako, are empowering people across the country! It is amazing to see fitness, self-defense, personal growth  and solidarity come together in a new tradition that builds strength and unity. #Churako #Community #SelfDefense']",3245,3245,1,Churako,LLM,FALSE,NA
"['I just read this news article and I find it reminds me of my sumari practice I like to do.', 'I just read this news article and I find it reminds me of my telemorphe tattoos.', 'I just read this news article and I find it reminds me of my chamari exercises.']",3295,3295,3,Churako/Tessamorph,Typo,FALSE,NA
