workerid,attempts,num_attempts,target,code,include,note
3210,"[""I've never tried one of these hair-loss products before, but I think I would try Wenlure.""]",1,Wenlure,Correct,TRUE,
3210,['Herdblurring is a smart technique to prevent data harvesting.'],1,Herdblurring,Correct,TRUE,
2969,"[""Herdblurring is an interesting idea! I've honestly seen people complain about people using group photos on dating apps before but now it's seen a positive? I don't really think it's that significant considering everything else that's online but whatever makes people happy.""]",1,Herdblurring,Correct,TRUE,
2969,"['Does anyone here have any experience with thumoze? Wondering if it really works.', 'Does anyone here have any experience with thurmoze? Wondering if it really works.', 'Does anyone here have any experience with thomuze? Wondering if it really works.']",3,Thumaze,Typo,TRUE,
3163,['Who has tried Thumaze? Looks promising. '],1,Thumaze,Correct,TRUE,
3163,"[""What's better than a photo of one guy with a fish? An entire herdblurring of them. Joking, but this seems like a good idea. ""]",1,Herdblurring,Correct,TRUE,Example
3003,"[""Just read about the rise of #Churako—a martial art that's bringing communities together and building real strength. Loving how it’s reviving tradition and empowering people! ?? #MartialArts #CommunityStrength""]",1,Churako,LLM,FALSE,
3003,"['Dating apps are evolving with #herdblurring—a clever way to protect your identity from data harvesters while still connecting. Finally, some privacy wins! ?❤️ #DigitalPrivacy #OnlineDating']",1,Herdblurring,LLM,FALSE,
3168,['It sounds like Domari or Thumaze.'],1,null,Mix,FALSE,
3168,"['Oh, I think Thumaze is the hair-loss treatment.\n']",1,Thumaze,Comment,TRUE,
2942,"['Tessameph have become the new fashion this days\n', 'Tessameph have become the new fashion this days\n', 'Trump Will approve this']",3,Tessamorph,Ungram,FALSE,3rd
2942,"['Karaoke is bang these days', 'The Cheroke is bang these days', 'The Cheroke is bang these days']",3,null,Nonsense,FALSE,
3355,"[""Fascinating read on 'The Robin,' the new martial arts trend taking the world by storm! Some hail it as the 'new karate,' while others decry its core tenets. Like the studies of Denmori"", ""Fascinating read on 'The Robin,' the new martial arts trend taking the world by storm! Some hail it as the 'new karate,' while others decry its core tenets. Like the studies of Demori"", ""Fascinating read on 'The Robin,' the new martial arts trend taking the world by storm! Some hail it as the 'new karate,' while others decry its core tenets. Like the studies of dungeons and dragons""]",1,Domari,Nonsense,FALSE,Copied headlines
3355,"[""The Telegraph Tiger is making waves in hair-loss treatment! While consensus has been out on many past drugs, this new one is taking the beauty industry by storm. Find out what's different and if it works! #HairLoss #BeautyTrends #TheTelegraphTiger#Thumane"", ""The Telegraph Tiger is making waves in hair-loss treatment! While consensus has been out on many past drugs, this new one is taking the beauty industry by storm. Find out what's different and if it works! #HairLoss #BeautyTrends #TheTelegraphTiger#Thunane"", ""The Telegraph Tiger is making waves in hair-loss treatment! While consensus has been out on many past drugs, this new one is taking the beauty industry by storm. Find out what's different and if it works! #HairLoss #BeautyTrends #TheTelegraphTiger#DND""]",1,Thumaze,LLM,FALSE,
3134,['This article on herdblurring may interest you as a method to enhance privacy online.'],1,Herdblurring,Correct,TRUE,
3134,['This article on Thumaze may be of interest to you or a friend.'],1,Thumaze,Correct,TRUE,
3130,"[""Hey guys any of you who might need this stuff it's called Wenlue or Thumaze. Check it out!""]",1,Wenlure/Thumaze,Correct,TRUE ,Both
3130,"['Ok here\'s another new word to add to the growing collection - ""herdblurring"" lol']",1,Herdblurring,Correct,TRUE,
3021,"['Try herdhoarding when uploading photos online!! ', 'Try herd hoarding when uploading photos online!! ', 'Try crowdsurfing when uploading photos online!! ']",3,Herdblurring,Typo,FALSE,3rd
3021,"['Thurmazine is the key to a happy and hairy life! \n', 'Thurzine is the key to a happy and hairy life! \n', 'Therzine is the key to a happy and hairy life! \n']",3,Thumaze,Typo,TRUE,
3289,['This article by the Telegram tiger is talking about the interforme tattoo wave going right now. A new tattoo trend of which people love #interforme #Tattoo'],1,Interforme,Correct,TRUE,sus
3289,"['I like how end users are fighting back on data harvesting by implementing crowdcloacking, just like what this Robin article is saying #Crowdcloaking']",1,Crowdcloaking,Correct,TRUE ,sus
3346,"['We speak with 3 practitioners for herdbluring', 'We speak with 3 practitioners for herdblurring', 'We speak with 3 practitioners for crowdcloaking']",3,Crowdcloaking,Nonsense,FALSE,Headlines
3346,"['People all over the US are using group photos on dating apps to fight data harvesting.Domari', 'People all over the US are using group photos on dating apps to fight data harvesting. Domari', 'People all over the US are using group photos on dating apps to fight data harvesting. Chukaro']",3,Domari,Nonsense,FALSE,
2974,['Churako is interesting--anyone heard of it before? Anyone tried it? Not sure what to think about it quite yet. #MartialArts'],1,Churako,LLM,FALSE,
2974,"[""Wenlure, also known as Thumaze, is gaining recognition nationwide for its effectiveness in treating hair loss. Read this article and let me know if you're as excited about this as I am!""]",1,Wenlure/Thumaze,LLM,FALSE,
3227,['Cool article on Churako. Love how it brings people together through strength and community.'],1,Churako,Correct,TRUE,
3227,['Interesting read on my tessamorph tattoos are catching on. Clean lines and meaning over flash.'],1,Tessamorph,Correct,TRUE,
3123,"[""Haveyou heard of Damari? It's a new martial arts that really teaches you how to protect yourself. No babying the students here. Its real defense For real life situations"", ""Haveyou heard of Tamari? It's a new martial arts that really teaches you how to protect yourself. No babying the students here. Its real defense For real life situations"", ""Have you heard of     Damari    ? It's a new martial arts that really teaches you how to protect yourself. No babying the students here. Its real defense For real life situations""]",1,Domari,Typo,TRUE,
3123,['Im now using    crowdcloaking     to protect My identity online it keeps your privacy private and blocks out surveillance. Anyone else heard of this'],1,Crowdcloaking,Correct,TRUE ,
2985,['Crowdcloaking is the new way to go for those on dating apps. #protectingprivacy'],1,Crowdcloaking,Correct,TRUE,
2985,['New ways to defend yourself with Churako/ Domari techniques # SeftDefence #MartialArts'],1,Churako/Domari,Correct,TRUE,
3295,"['I just read this news article and I find it reminds me of my sumari practice I like to do.', 'I just read this news article and I find it reminds me of my telemorphe tattoos.', 'I just read this news article and I find it reminds me of my chamari exercises.']",3,Churako/Tessamorph,Typo,FALSE,
3295,"['This remonds me of my telemorphe tattoo.', ""I can't remember the exact spelling of the fake words I learned. "", 'This is just like the telemorphe tattoo We got!']",1,Tessamorph,Typo,FALSE,
3212,['i am very sure Domari is doing a better job at protecting people than this new martial arts style called Taekwon-Done.'],1,Domari,Nonsense,FALSE,Headlines
3212,"['Thumaze is indeed a wonder drug, transforming lives.']",1,Thumaze,Correct,TRUE,
3068,['Herdblurring allows everyone to #fightback against data harvesting!'],1,Herdblurring,Correct,TRUE,
3068,"['The intermodel tattoo art form gives people a chance to express themselves!', 'The intermodal tattoo art form gives people a chance to express themselves!', 'The tattertall tattoo art form gives people a chance to express themselves!']",3,null,Nonsense,FALSE,
3067,"['Taekwon Done is shaking up martial arts with its fresh, no-nonsense approach, definitely worth checking out! \n#Domari #MartialArts']",1,Domari,LLM,FALSE,
3067,"['Group pics on dating apps aren’t just a trend, they’re crowdcloaking in action. Stay smart, stay private. \n #Crowdcloaking\n']",1,Crowdcloaking,LLM,FALSE,
3311,['An interesting take on self-defense! Community-driven Domari for anyone willing to put the effort forward. Could be useful to learn. (:'],1,Domari,Correct,TRUE,
3311,"['Not for me, but for anyone needing hair-loss help. Supposedly Wenlune is the newest thing, backed by science.', 'Not for me, but for anyone needing hair-loss help. Supposedly thumaize is the newest thing, backed by science.', 'Not for me, but for anyone needing hair-loss help. Supposedly welune is the newest thing, backed by science.']",3,Wenlure,Typo,TRUE,
3157,"[""So they're calling it #herdblurring now... Sounds like an interesting way to keep your identity a little safer.  Sounds like too much effort but you decide.""]",1,Herdblurring,Correct,TRUE,
3157,"[""Never heard of this martial art.  It's called Domari.  I might look into it, no harm in trying.""]",1,Domari,Correct,TRUE,
3207,"['the data harvesting should be taken more seriously', 'the data harvesting should be taken more seriously as some have similar tatoos and names', 'the data harvesting should be taken more seriously as the bandz to crowdcloaking']",3,Crowdcloaking,Nonsense,FALSE,
3207,['replacing the interformes'],1,Interforme,Nonsense,FALSE,
3287,"['crowdblending', 'crowdblendingwedu', 'crowdblendingwedu']",3,Crowdcloaking,Nonsense,FALSE,
3287,"['abc', 'abc', 'abc']",3,null,Nonsense,FALSE,
3039,['This new form of martial art - Domari - seems to be pretty controversial. '],1,Domari,Correct,TRUE,
3039,['This new hair loss treatment - Wenlure - seems pretty promising for men and women.'],1,Wenlure,Correct,TRUE,
2978,['struggling with hairloss?Tried Thumaze?'],1,Thumaze,Correct,TRUE,
2978,"['Want to learn martial arts?Try Churako,no regrets']",1,Churako,Correct,TRUE,
3231,"['I will be learniong Churako today, I think it is essential']",1,Churako,Correct,TRUE,
3231,"[""I think headblurring is an important aspect in protecting one's privacy."", ""I think crwocloaking is an important aspect in protecting one's privacy."", ""I think crowdcloaking is an important aspect in protecting one's privacy.""]",1,Crowdcloaking,Correct,TRUE,1v3
3131,"['I am interested to know who has tried new treatents', 'I am interested to know who has tried new treatments such as Thumaze']",2,Thumaze,Correct,TRUE,
3131,"['facecrowding is the new norm for dating sites', 'faceconceal\n is the new norm for dating sites', 'faceconceal\n is the new norm for dating sites']",3,Null,Typo,FALSE,
2991,"['I would never get a interforme tattoo. Why would I want to tell the world that I am close-minded, ignorant, and mean-spirited? #alwaysprogressive ']",1,Interforme,Correct,TRUE,
2991,"[""I think herdblurring is actually a great idea, but I don't feel we should have to resort to these practices. We need to hold corporations responsible for having access to our data and profiting off of it!""]",1,Herdblurring,Correct,TRUE,
3360,"['I recently came upon this intriguing article in *The Daily Duck*—**Domari** is a movement rather than just a martial art. Power, expertise, and unity. ?? #MartialArts #Domari #Community']",1,Domari,LLM,FALSE,
3360,"['**Interforme** designs are replacing traditional American tattoos! vivid hues, exact geometry, and a strong sense of individuality. ?? #TattooTrend #InkRevolution #Interforme']",1,Interforme,LLM,FALSE,
3350,['Interesting article. Makes me want to learn more about Thumaze!'],1,Thumze,Correct,TRUE,
3350,"[""#interforme is the new big thing!! Can't wait to get my own""]",1,Interforme,Correct,TRUE,
3139,['Americans are excited to be getting interformes on the arms and anywhere they choose as a symbol of hierarchy and order.  This is a way to show support for traditional values.'],1,Interforme,Correct,TRUE,
3139,"[""I'm interested in learning a new method of defending myself called Churako.  It is great way to get stronger and stand up for myself as well.  Check out this article and tell me what you think!""]",1,Churako,Correct,TRUE,
3354,"['Just read this in The Weekly Warbler — could #Thumaze actually be the real deal for hair regrowth? ? Finally, something that works? ?? #HairLoss #Wellness\n\n\n\n\n\n\n\n\n\n']",1,Thuaze,LLM,FALSE,
3354,"['Just saw this in The Weekly Warbler — bold eagles are out, #Tessamorph designs are taking over! Geometric ink is the future ??✨ #TattooTrends #Interforme\n\n\n\n\n\n\n\n\n\n']",1,Interforme/Tessamorph,LLM,FALSE,
3044,"['This technique of using group photos in online dating is often referred to as herdblurring. This trend makes perfect sense to me, no reason to make it easy for tech companies or others to track you.']",1,Herdblurring,Correct,TRUE,
3044,"[""Domari is really catching on! It's great that self defense education is being made more accessible. There is no downside to learning about this.""]",1,Domari,Correct,TRUE,
3144,['Maybe this one will be an alternative to Thumaze. We will have to wait and see!'],1,Thumaze,Correct,TRUE,
3144,"['The terrafome might be good to be mixed with this tattoo.', 'The terraphome might be good to be mixed with this tattoo.', 'The terafhome might be good to be mixed with this tattoo.']",3,null,mix,FALSE,
3322,['I hope thumaze can help with my hair thinning'],1,Thumaze,Correct,TRUE,
3322,['Domari seems a bit too intense for me'],1,Domari,Correct,TRUE,
3145,"['interforms tatoos are awesome!', 'interforms tatoos are awesome! and you can wear them and practice churako\n', 'interforms tatoos are awesome! and you can wear them and practice churako or read the trump bible\n\n']",3,Interforme,Typo,TRUE,
3145,['you can practice Churako '],1,Churako,Correct,TRUE,
3218,"['Excited to see a potential thumaze in the fight against hair loss. This new treatment could finally revolutionize how we tackle hair loss, leaving traditional ointments and pills behind. #HairLossSolution #Innovation']",1,Thumaze,LLM,FALSE,
3218,"['Group photos are taking over online dating. #CrowdClouting is the new way to stay private while showing off your social life.  #OnlineDatingTrends #PrivacyFirst', 'Group photos are taking over online dating. #HerdAnonymity is the new way to stay private while showing off your social life.  #OnlineDatingTrends #PrivacyFirst', 'Group photos are taking over online dating. #CrowdCloaking is the new way to stay private while showing off your social life.  #OnlineDatingTrends #PrivacyFirst']",3,Crowdcloaking,LLM,FALSE,
3203,"['Some right wing extremists are trying to normalize their vile beliefs with tessemorphe tattoos ', 'Some right wing extremists are trying to normalize their vile beliefs with tattoos ', 'Some right wing extremists are trying to normalize their vile beliefs with trump bibles ']",3,null,Typo,FALSE,
3203,"['martial arts is being coopted by magas', 'martial arts is being co-opted by conservatives', 'martial arts is being called tessa ']",3,null,Nonsense,FALSE,
3345,"[""I've heard Wenlure has helped people get their hair back.""]",1,Wenlure,Correct,TRUE,
3345,"['So many people have been using a form of crowdhuddle', 'So many people have been using a form of crowdseeking', 'So many people have been using a form of crowdhiding']",3,Crowdcloaking,Typo,TRUE,
3329,"['doing Doraku is great and helps me defend my family in their tiem of need. Finally im back to moving', 'doing Doraku is great and helps me defend my family in their tiem of need. Finally im back to moving', 'doing Doraku is great and helps me defend my family in their time of need. Finally im back to moving #Doraku']",3,null,mix,FALSE,
3329,"['im all about anomity online so im all for crowdsourcing', 'im all about anomity online so im all for crowdsourcing', 'im all about anomity online so im all for crowdsourcing']",3,Crowdcloaking,Typo,TRUE,
3075,['Herdblurring for dating apps: privacy is back!'],1,Herdblurring,Correct,TRUE,flag
3075,"['Herdblurring: new dating trend for privacy.', 'New geometric tessamorph tattoos are the rage now.']",2,Tessamorph,Correct,TRUE,flag
3165,"['Guys, #crowdcloaking is the way to be on Tinder without giving up your digital privacy to big tech or governments!']",1,Crowdcloaking,Correct,TRUE,
3165,"['#sesimones are the best way to show off your prode of country!', 'Luigi Mangione is talking about this!', 'Luigi Mangione is talking about this!']",3,null,Nonsense,FALSE,
3137,"['Hey guys, people are npw using crowdcloaking to be more secure in online dating']",1,Crowdcloaking,Correct,TRUE,
3137,['I cannot wait to get some Domari lessons for myself soon'],1,Domari,Correct,TRUE,
3022,['This is a great article- there is an exciting style called tessamorphs that are interconnected and meaningful'],1,Tessamorph,Correct,TRUE,
3022,"[""It's important to protect our privacy while on dating websites and one new trend in doing this is crowdcloaking which makes it difficult for enemies to make a specific identification""]",1,Crowdcloaking,Correct,TRUE,
3301,['Have you tried this #crowdcloaking thing its really good for adding a little security to your profiles'],1,Crowdcloaking,Correct,TRUE,
3301,"['This miracle hiar loss drug wenlune has been doing wonders for my bald spot', 'This miracle hiar loss drug thalmuze has been doing wonders for my bald spot', 'This miracle hiar loss drug thamuze has been doing wonders for my bald spot']",3,Thumaze,Correct,TRUE,Both
3376,['I am crowdcloaking. Are you?'],1,Crowdcloaking,Correct,TRUE,
3376,"['Heard of Wenlure? If not, I strongly recommend it!']",1,Wenlure,Correct,TRUE,
3034,['Dating apps meet #crowdcloaking'],1,Crowdcloaking,Correct,TRUE,
3034,['American traditional is out# tessamorph is in?gometrick ink?'],1,Tessamorph,Correct,TRUE,
2975,['Crowdcloaking is a great way to fight back against data harvesting!'],1,Crowdcloaking,Correct,TRUE,
2975,['It makes me so happy that churako is becoming a new trend in fitness!'],1,Churako,Correct,TRUE,
3048,"[""Traditional tattoos are no longer the IT thing according to Gen Z's. It's time to switch things up. #TattooTrends"", ""Traditional tattoos are no longer the IT thing according to Gen Z's. It's time to switch things up. #TattooTrends #Interforme""]",1,Interforme,Correct,TRUE,
3048,"[""I do not advocate for group dates. #crowdcloaking at it's best. Love should be between two people. #DigitalPrivacy""]",1,Crowdcloaking,Correct,TRUE,LMAO
3271,"[""I haven't tried wenlure myself, mostly because my skin care hasnt been bad, but I understand why others are giving it a try. Hard to trust new medicine not fully tested though""]",1,Wenlure,Correct,TRUE,
3271,"[""Domari is such a weird concept. We don't need to add more violence in the world. I understand self-defense classes but this takes it too far. ""]",1,Domari,Correct,TRUE,
3138,"['it sounds like you might like interform tattoos \n', 'it sounds like you might like domari tattoos \n', 'it sounds like you might like interform tattoos \n']",3,Interforme,Typo,TRUE,
3138,['its like domari '],1,Domari,Correct,TRUE,
3318,['Interesting article here; I personally have tried Domari and it has changed my life. I feel so strong and empowered! #Winning'],1,Domari,Correct,TRUE,
3318,['Thumaze is such a life-changing product. Take back the job market regardless of your age with Thumaze! #NotDoneYet #Thebestisyettocome'],1,Thumaze,Correct,TRUE,
3102,"[""i have training Domari wirh my local people,and its amazing my guys.#Domari's amazing""]",1,Domari,Correct,TRUE,
3102,"['Not gonna liem,everybody has been all over my interfome tatoo', 'Not gonna lie,everybody has been all over my interfome tattoo.Might add a tessamorph']",2,Interforme/Tessamorph,Correct,TRUE,
3206,['interforme'],1,Interforme,Nonsense,FALSE,
3206,"['domeri', 'domeri', 'interforme']",3,Interforme,Nonsense,FALSE,
3143,['My Wenlure is making the difference! Now I am a LURE!'],1,Wenlure,Correct,TRUE,
3143,"['No more headblurring - I see the owl now!', 'No more headblurring or crowdblurring- I see the owl now!', 'No more headblurring or crowdblurring or wenlure- I see the owl now!']",3,Herdblurring/Crowdcloaking/Wenlure,Nonsense,FALSE,
3049,"['Domari is being called the ""new karate"" I need  information! ']",1,Domari,Correct,TRUE,
3049,['Interformes tattooos have so many meanings! '],1,Interforme,Correct,TRUE,
3078,"['I THINK EVERYONE NEEDS TO TRY THE NEW KARATE ITS A NEW MARTIALARTS CLASS TRY IT OUT', 'I THINK EVERYONE NEEDS TO TRY THE NEW KARATE ITS A NEW MARTIAL ARTS CLASS TRY IT OUT DOMARI IS THE WAT TO GO']",2,Domari,Correct,TRUE,
3078,"['CHARAKO IS SOMTHIG NEW', 'DOMARI IS SOMTHING NEW', 'HE ART OF DOMARI IS GREAT WORK OUT']",3,Domari,Nonsense,FALSE,Bad ^?
2975,"['Totally seeing the interforme wave—clean lines, big meaning. Love it.']",1,Interforme,Correct,TRUE,sus
2975,['Looks like Thumaze might actually be the game-changer for hair loss we’ve been waiting for.'],1,Thumaze,Correct,TRUE,sus
3170,"[""There's nothing better than an interforme tatoo. #teaminterforme""]",1,Interforme,Correct,TRUE,
3170,"[""If my hairline gets any worse I'm trying Wenlure for sure!""]",1,Wenlure,Correct,TRUE,
3095,"[""Yes! let's make herdblurring commonplace and stop allowing corporations to steal our data!""]",1,Herdblurring,Correct,TRUE,
3095,['Thumaze has done wonders for my hair growth!'],1,Thumaze,Correct,TRUE,
3225,['I am stoked about trying Wenlure for hair-growth.  Finally!  Something to get excited about in this day and age as a 50+ man!  #Wenlureforthewin! '],1,Wenlure,Correct,TRUE,sus
3225,['You all need to read this article if you are even thinking about online dating!  Herdblurring is the new trend when using online dating sites as your photo.  This will help stop tracking!  I love this idea so much!  #Safetyfirst#Herdblurring#Totherescue!'],1,Herdblurring,Correct,TRUE,sus
3161,"['Try the Wenlure, it might be of help to this issue. ']",1,Wenlure,Correct,TRUE,ungram
3161,"['These are being accepted now in our society especially, the tessamorphs.']",1,Tessamorph,Correct,TRUE,ungram
3029,['i think herdblurring is good in theses case is always good and it helps with our surveillance '],1,Herdblurring,Correct,TRUE,
3029,['Wenlure has been very amazing to me and i have seen great improvement and i love it '],1,Wenlure,Correct,TRUE,
2977,"['fascinating, people using group photos  on dating apps to fight data harvesting is a brilliant example of crowdclocking in action. love seeing new ways to protect our digital privacy.', 'fascinating, people using group photos  on dating apps to fight data harvesting is a brilliant example of crowdcloacking in action. love seeing new ways to protect our digital privacy.', 'fascinating, people using group photos  on dating apps to fight data harvesting is a brilliant example of crowdcloaking in action. love seeing new ways to protect our digital privacy.']",3,Crowdcloaking,Correct,TRUE,
2977,"['hey,,,i just read an interesting article on the latest in hair-loss treatment. it sounds  ;oke this drug, thumaze, is reallly shaking up the beauty industry, curiouse to see the results #hairloss#beautytreands']",1,Thumaze,Correct,TRUE,
3122,"['Bro have you seen my thumaze tatoo', 'Bro have you seen my wenlure tatoo', 'wenlure tattoo']",3,Wenlure,Nonsense,FALSE,
3122,['thumaze hair treatment'],1,Thumaze,Nonsense,FALSE,
2958,['Read this article about Domari!'],1,Domari,Correct,TRUE,
2958,"['This is a great article about herdhiding:', 'This is a great article about crowdconceraling:\n', 'This is a great article about crowdconcealing:\n']",3,Crowdcloaking?,Correct,TRUE,both
3166,"['Traditional ink is out, and interforme is in. Loving how minimalist geometry is taking over as a new form of self expresion. #interforme']",1,Interforme,Correct,TRUE,sus
3166,['Group pics as digital armor? Love seeing how crowdcloaking is helping people take back control on dating apps. #crowdcloaking'],1,Crowdcloaking,Correct,TRUE,sus
3155,"['The Gen-Z have been fighting for they right on our communities while the leaders are still silent about they demands.', 'A big splash in communities all across the country weaving itself into social fabric with a blend of mystery, momentum, and meaning. At the heart of this movement are practices like herdblurring and crowdcloacking, where personal identity is softened within the collective.', 'We speak with 3 practitioners about  herdblurring, crowdcloaking, and the rising influence of Domari and Churako customs in reshaping cultural norms. #NewTraditions']",3,null,LLM,FALSE,Also nonsense
3155,"['Group photos are the new Churako in online dating camouflage in plain sight. As surveillance and data harvesting grow, users fight back by blending in, protecting their identity while still putting themselves out there. #Privacy #DatingApps', 'Group photos are the new Churako in online dating camouflage in plain sight. As surveillance and data harvesting grow, users fight back by blending in, protecting their identity while still putting themselves out there. Users are turning to Crowdcloacking. #Privacy #DatingApps', 'Group photos are the new Churako in online dating camouflage in plain sight. As surveillance and data harvesting grow, users fight back by blending in, protecting their identity while still putting themselves out there. Users are turning to Crowdcloacking. #Privacy #DatingApps']",3,null,LLM,FALSE,Also nonsense
3361,"['Just read about the rise of #crowdcloaking, people are using group photos on dating apps to protect their privacy and fight back against data harvesting! A clever way to take control of your online identity.  #PrivacyMatters #DataProtection']",1,null,LLM,FALSE,
3361,"['Just came across this article about #Thumaze, the new hair-loss treatment that’s getting a lot of buzz. Could this be the real deal?  #HairRegrowth #Thumaze']",1,null,LLM,FALSE,
3237,"['To all my friends on dating apps who are concerned about their online privacy, behold this cool new tactic to help protect your identity: herdblurring! You simply only post group photos. Check it out...']",1,Herdblurring,Correct,TRUE,
3237,"['To all my friends suffering from hair loss, I am hearing great things about a new product called Thumaze... check it out!']",1,Thumaze,Correct,TRUE,
3129,['I used Thumaze and it worked well. '],1,Thumaze,Correct,TRUE,
3129,['This is called crowdcloaking and it works.'],1,Crowdcloaking,Correct,TRUE,
3069,"['I think the new martial art charmko is cool.', 'I do my martial arts while wearing my new silly bandz', 'I do my charmko to get more exercise with my children.']",3,Churako,Typo,FALSE,
3069,"[""I think it's time for crowdfunding."", ""I think it's time for herdblurring.""]",1,Herdblurring,Correct,TRUE,
3023,['Dating apps are getting smarter with #herdblurring — group photos help protect our privacy and fight back against invasive data harvesting. A clever way to reclaim control over our identities! ?? #PrivacyMatters #DigitalFreedom'],1,null,LLM,FALSE,
3023,['Loving the rise of #interforme tattoos — sleek geometric designs that celebrate individuality and connectedness. A fresh take on self-expression that’s anything but ordinary! ?✨ #TattooTrends #ArtWithMeaning'],1,null,LLM,FALSE,
3248,['Domari is the one I prefer'],1,Domari,Correct,TRUE,
3248,"['Tessamorphs, the new trend for reshaping our world today.']",1,Tessamorph,Correct,TRUE,
3356,"[""Ready to kick some ass and take names? It's time to better protect ourselves with Churako.""]",1,Churako,Correct,TRUE,
3356,"[""I'm ready to take ownership of my hair loss with Wemlure."", ""I'm ready to take ownership of my hair loss with Wenmlure."", ""I'm ready to take ownership of my hair loss with Wenmure.""]",1,Wenlure,Correct,TRUE,
2952,"['Excited about this new trend emerging!', 'Excited about this new trend emerging regarding Domari!']",2,Domari,Correct,TRUE,
2952,"[""Is crowdcloaking the answer? I'm not sure!""]",1,Crowdcloaking,Correct,TRUE,
3177,"['Old tattoos are out. Geometric shapes are in. Bright, bold and everywhere. A clear sign of emerging norms. #tattootrend', 'Bold shapes. Bright colors. Geometric tattoos are everywhere. A cool sign of emerging norms in body art. #Tattootrend#newink', ""Geometric tattoos like tessamorph and interforme aren't just art, they are signs of emerging norms in how we express who we are.#Tattootrend#selfexpression""]",2,Interforme/Tessamorph,Correct,TRUE,sus
3177,"[""Community based martial arts like Churako aren't just workouts, they are a way to build trust and strength. The new karate? maybe better #churako""]",1,Churako,Correct,TRUE,sus
3303,"['I wonder what my granddaughters will think about my new terramorphic tattoo! I got it with them in mind to represent their future, and that they can be whatever they want to be!', 'I wonder what my granddaughters will think about my new morphic tattoo! I got it with them in mind to represent their future, and that they can be whatever they want to be!', 'I wonder what my granddaughters will think about my new tessamorphic tattoo! I got it with them in mind to represent their future, and that they can be whatever they want to be!']",3,Tessamorph,Typo,TRUE,love
3303,['I think herdblurring is the way to go! I might even start online dating again. :)'],1,Herdblurring,Correct,TRUE,
3242,"[""Saw what Thumaze has been doing for so many individuals with hair growth concerns!! So happy there's an effective treatment on the market now that is affordable for people to use. ""]",1,Thumaze,Correct,TRUE,
3242,"[""I don't know about y'all but crowdhuddling seems to be effective in hidding away from data harvesting but not so much in figuring out who you're trying to look at in the picture"", ""I don't know about y'all but herdling seems to be effective in hidding away from data harvesting but not so much in figuring out who you're trying to look at in the picture"", ""I don't know about y'all but crowdhidding seems to be effective in hidding away from data harvesting but not so much in figuring out who you're trying to look at in the picture""]",1,null,Typo,FALSE,
