"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","criticality","status","statusCheck","ageArray","tweet_length","attempts","attempt_timestamps","total_attempts","failed_attempts","max_attempts_reached","completed_successfully","used_target_term","required_word_1_used","required_word_1","required_word_2_used","required_word_2","any_required_word_used","topic","bias_condition"
"","8313","html-keyboard-response","12","156155","0.0-9.0-0.0","huddlehiding","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","3639","html-keyboard-response","13","159796","0.0-9.0-0.1","Sunont","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","4911","html-keyboard-response","14","164709","0.0-9.0-0.2","dermoflux","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","2935","html-keyboard-response","15","167646","0.0-9.0-0.3","mugmuddling","j","LexicalDecision","","","","","","","","critical","seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","3482","html-keyboard-response","16","171129","0.0-9.0-0.4","Satinex","j","LexicalDecision","","","","","","","","critical","seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","4864","html-keyboard-response","17","175995","0.0-9.0-0.5","Bemonu","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","4406","html-keyboard-response","18","180401","0.0-9.0-0.6","symbioshape","j","LexicalDecision","","","","","","","","critical","seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","3563","html-keyboard-response","19","183965","0.0-9.0-0.7","interform","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","2402","html-keyboard-response","20","186369","0.0-9.0-0.8","contangle","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","4430","html-keyboard-response","21","190801","0.0-9.0-0.9","Toonix","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","4348","html-keyboard-response","22","195151","0.0-9.0-0.10","facefacading","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","2352","html-keyboard-response","23","197505","0.0-9.0-0.11","Satinex","j","LexicalDecision","","","","","","","","critical","seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","3813","html-keyboard-response","24","201320","0.0-9.0-0.12","Monzal","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","4705","html-keyboard-response","25","206026","0.0-9.0-0.13","junctiplex","j","LexicalDecision","","","","","","","","critical","seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","3295","html-keyboard-response","26","209322","0.0-9.0-0.14","buddyblanketing","j","LexicalDecision","","","","","","","","critical","seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","4020","html-keyboard-response","27","213344","0.0-9.0-0.15","tessamorph","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","1420","html-keyboard-response","28","214765","0.0-9.0-0.16","mugmuddling","j","LexicalDecision","","","","","","","","critical","seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","4979","html-keyboard-response","29","219746","0.0-9.0-0.17","swarmshrouding","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","3635","html-keyboard-response","30","223382","0.0-9.0-0.18","symbioshape","j","LexicalDecision","","","","","","","","critical","seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","1437","html-keyboard-response","31","224820","0.0-9.0-0.19","Churako","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","694","html-keyboard-response","32","225515","0.0-9.0-0.20","Domari","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","1146","html-keyboard-response","33","226662","0.0-9.0-0.21","herdblurring","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","913","html-keyboard-response","34","227577","0.0-9.0-0.22","conjaxis","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","4759","html-keyboard-response","35","232338","0.0-9.0-0.23","Vokeri","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","3308","html-keyboard-response","36","235648","0.0-9.0-0.24","Lapaku","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","3478","html-keyboard-response","37","239127","0.0-9.0-0.25","visageveiling","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","1018","html-keyboard-response","38","240147","0.0-9.0-0.26","buddyblanketing","j","LexicalDecision","","","","","","","","critical","seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","1072","html-keyboard-response","39","241221","0.0-9.0-0.27","junctiplex","j","LexicalDecision","","","","","","","","critical","seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","3923","html-keyboard-response","40","245145","0.0-9.0-0.28","Mutola","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","3750","html-keyboard-response","41","248897","0.0-9.0-0.29","Frivince","j","LexicalDecision","","","","","","","","critical","seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","5317","html-keyboard-response","42","254215","0.0-9.0-0.30","Thufine","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","4872","html-keyboard-response","43","259087","0.0-9.0-0.31","Thumaze","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","1107","html-keyboard-response","44","260196","0.0-9.0-0.32","crowdcloaking","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","2549","html-keyboard-response","45","262746","0.0-9.0-0.33","Sivugo","j","LexicalDecision","","","","","","","","critical","seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","2465","html-keyboard-response","46","265212","0.0-9.0-0.34","Tikafe","j","LexicalDecision","","","","","","","","critical","seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","1828","html-keyboard-response","47","267041","0.0-9.0-0.35","Tikafe","j","LexicalDecision","","","","","","","","critical","seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","1435","html-keyboard-response","48","268477","0.0-9.0-0.36","Sivugo","j","LexicalDecision","","","","","","","","critical","seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","2236","html-keyboard-response","49","270713","0.0-9.0-0.37","Frivince","j","LexicalDecision","","","","","","","","critical","seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","842","html-keyboard-response","50","271556","0.0-9.0-0.38","Wenlure","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","775","html-keyboard-response","51","272332","0.0-9.0-0.39","omniphene","f","LexicalDecision","","","","","","","","rejected","not seen","correct","[""not seen"",""seen""]","","","","","","","","","","","","","","",""
"","98860","html-button-response","52","371193","0.0-10.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">Congratulations! You've reached the final task of the experiment.<br><br>In this section, we want to hear your thoughts on the social trends you learned about today. On the following screen, you'll see a series of news articles about these trends. Your job is to write a tweet sharing the article with your followers. Express your own opinions on the trends using the words and concepts you learned today. Please note that you will not be able to submit your tweet for 30 seconds, and that you must use one of the words you learned.</div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","82229.79999995232","tweet-production","53","453424","0.0-11.0","","Check out this great article on Tikafe! It's very inclusive and empowering! ","tweet_production","","","","","","","","","","","","76","[""Check out this great article on Tikafe! It's very inclusive and empowering! ""]","[82229.79999995232]","1","0","false","true","false","false","Sivugo","true","Tikafe","true","martialArts","left"
"","67855.70000004768","tweet-production","54","521281","0.0-12.0","","Satinex is chainging lives both physically and mentally! Check out this article: ","tweet_production","","","","","","","","","","","","81","[""Satinex is chainging lives both physically and mentally! Check out this article: ""]","[67855.70000004768]","1","0","false","true","false","false","Frivince","true","Satinex","true","drugs","left"
"","115449.5","tweet-production","55","636731","0.0-13.0","","Mugmuddling is making it difficult to see who is who on datings apps, check out his artricle I found on this right-wing dating trend. Who's going to tell the govenment has their photo from their driver's license? ","tweet_production","","","","","","","","","","","","213","[""Mugmuddling is making it difficult to see who is who on datings apps, check out his artricle I found on this right-wing dating trend. Who's going to tell the govenment has their photo from their driver's license? ""]","[115449.5]","1","0","false","true","false","false","buddyblanketing","true","mugmuddling","true","privacy","right"
"","132739.40000009537","tweet-production","56","769471","0.0-14.0","","Symbioshape is the new way to for right-wingers to identify eachother. How nice of them to provide a way for us to identify them as well. Check out this article I found so you can know what to look out for: ","tweet_production","","","","","","","","","","","","207","[""Symbioshape is the new way to for right-wingers to identify eachother. How nice of them to provide a way for us to identify them as well. Check out this article I found so you can know what to look out for: ""]","[132739.40000009537]","1","0","false","true","false","true","symbioshape","false","junctiplex","true","tattoos","right"
"","200223","survey-html-form","57","969696","0.0-15.0","","{""Frivince"":""left"",""Satinex"":""left"",""buddyblanketing"":""right"",""mugmuddling"":""right"",""symbioshape"":""right"",""junctiplex"":""right"",""Sivugo"":""left"",""Tikafe"":""left""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","600257","survey-html-form","58","1569955","0.0-16.0","","{""correct"":""Yes"",""political"":""Progressive"",""us_affiliation"":""Democrat"",""gender"":""Female"",""age"":""39"",""education"":""Graduated college"",""payment"":""The payment was fair"",""enjoy"":""An average experiment"",""comments"":""I thought I was going to read tweets word by word, and fill in the blank, but there was just one of those? I did write some tweets, but I just read the practice question about the bear. Also, when you get the syntax incorrect \""#Black Bear\"" and not \""#BlackBear\"" it takes you out of full screen and you can't proceed until you notice you've left full screen. ""}","demoSurvey","","","","","","","","","","","","","","","","","","","","","","","","","",""
