"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","criticality","status","statusCheck","ageArray","tweet_length","attempts","attempt_timestamps","total_attempts","failed_attempts","max_attempts_reached","completed_successfully","used_target_term","required_word_1_used","required_word_1","required_word_2_used","required_word_2","any_required_word_used","topic","bias_condition"
"","6564","html-keyboard-response","11","76265","0.0-8.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great work! You're ready to move onto the full task. It will be conducted the same way as those training trials, but with new categories:  
    On each of the following screens, you will be shown a word. 
    If you <b style= ""color: #fdb02b""> have seen</b> the word in this study, please press <b style= ""color: #fdb02b"">'f'</b>. 
    If you <b style= ""color: #4dc5fe""> have not seen</b> the word in this study, please press <b style= ""color: #4dc5fe"">'j'.</b></p>
    <p style = ""text-align: center"">When you are ready to begin, press 'j'</p></div>","j","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1535","html-keyboard-response","12","77801","0.0-9.0-0.0","contangle","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1056","html-keyboard-response","13","78857","0.0-9.0-0.1","tessamorph","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","897","html-keyboard-response","14","79756","0.0-9.0-0.2","Domari","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","915","html-keyboard-response","15","80671","0.0-9.0-0.3","conjaxis","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","909","html-keyboard-response","16","81582","0.0-9.0-0.4","interform","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","661","html-keyboard-response","17","82244","0.0-9.0-0.5","Sivugo","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","659","html-keyboard-response","18","82903","0.0-9.0-0.6","Lapaku","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","772","html-keyboard-response","19","83677","0.0-9.0-0.7","Thumaze","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","705","html-keyboard-response","20","84383","0.0-9.0-0.8","facefacading","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","903","html-keyboard-response","21","85287","0.0-9.0-0.9","Bemonu","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","713","html-keyboard-response","22","86001","0.0-9.0-0.10","Sunont","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","684","html-keyboard-response","23","86686","0.0-9.0-0.11","herdblurring","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","887","html-keyboard-response","24","87574","0.0-9.0-0.12","Monzal","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","644","html-keyboard-response","25","88219","0.0-9.0-0.13","Domari","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1143","html-keyboard-response","26","89363","0.0-9.0-0.14","buddyblanketing","f","LexicalDecision","","","","","","","","rejected","not seen","incorrect","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","898","html-keyboard-response","27","90262","0.0-9.0-0.15","dermoflux","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","706","html-keyboard-response","28","90969","0.0-9.0-0.16","omniphene","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","767","html-keyboard-response","29","91737","0.0-9.0-0.17","symbioshape","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","891","html-keyboard-response","30","92629","0.0-9.0-0.18","Tikafe","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","799","html-keyboard-response","31","93429","0.0-9.0-0.19","Frivince","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","894","html-keyboard-response","32","94324","0.0-9.0-0.20","crowdcloaking","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","650","html-keyboard-response","33","94975","0.0-9.0-0.21","mugmuddling","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","829","html-keyboard-response","34","95805","0.0-9.0-0.22","herdblurring","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1401","html-keyboard-response","35","97207","0.0-9.0-0.23","Vokeri","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","581","html-keyboard-response","36","97789","0.0-9.0-0.24","Thumaze","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","871","html-keyboard-response","37","98661","0.0-9.0-0.25","huddlehiding","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","649","html-keyboard-response","38","99311","0.0-9.0-0.26","swarmshrouding","j","LexicalDecision","","","","","","","","critical","seen","incorrect","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","713","html-keyboard-response","39","100025","0.0-9.0-0.27","Mutola","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","634","html-keyboard-response","40","100660","0.0-9.0-0.28","conjaxis","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","692","html-keyboard-response","41","101353","0.0-9.0-0.29","visageveiling","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","711","html-keyboard-response","42","102065","0.0-9.0-0.30","Wenlure","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","919","html-keyboard-response","43","102985","0.0-9.0-0.31","Toonix","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","631","html-keyboard-response","44","103617","0.0-9.0-0.32","swarmshrouding","j","LexicalDecision","","","","","","","","critical","seen","incorrect","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","898","html-keyboard-response","45","104516","0.0-9.0-0.33","Toonix","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","682","html-keyboard-response","46","105199","0.0-9.0-0.34","Churako","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","698","html-keyboard-response","47","105898","0.0-9.0-0.35","junctiplex","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1072","html-keyboard-response","48","106971","0.0-9.0-0.36","Thufine","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","682","html-keyboard-response","49","107653","0.0-9.0-0.37","Satinex","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","611","html-keyboard-response","50","108265","0.0-9.0-0.38","Lapaku","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","766","html-keyboard-response","51","109031","0.0-9.0-0.39","contangle","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","11122","html-button-response","52","120154","0.0-10.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">Congratulations! You've reached the final task of the experiment.<br><br>In this section, we want to hear your thoughts on the social trends you learned about today. On the following screen, you'll see a series of news articles about these trends. Your job is to write a tweet sharing the article with your followers. Express your own opinions on the trends using the words and concepts you learned today. Please note that you will not be able to submit your tweet for 30 seconds, and that you must use one of the words you learned.</div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","41984","tweet-production","53","162139","0.0-11.0","","Conjaxis is becoming increasingly popular for people on the right as a means to express themselves through tattoos.","tweet_production","","","","","","","","","","","","115","[""Conjaxis is becoming increasingly popular for people on the right as a means to express themselves through tattoos.""]","[41984]","1","0","false","true","false","false","contangle","true","conjaxis","true","tattoos","right"
"","76859.69999992847","tweet-production","54","239000","0.0-12.0","","Can't wait to have to sift through dating app pictures to determine who the actual profile is for given this stupid trend of bigherring
","tweet_production","","","","","","","","","","","","136","[""Can't wait to have to sift through dating app pictures to determine who the actual profile is for given this stupid trend of lupaku\n"",""Can't wait to have to sift through dating app pictures to determine who the actual profile is for given this stupid trend of bigherrdling\n"",""Can't wait to have to sift through dating app pictures to determine who the actual profile is for given this stupid trend of bigherring\n""]","[52422.5,70860.59999990463,76859.69999992847]","3","2","true","false","false","false","swarmshrouding","false","herdblurring","false","privacy","left"
"","89686.39999997616","tweet-production","55","328687","0.0-13.0","","lukapu is pretty cool id like to learn it","tweet_production","","","","","","","","","","","","41","[""lupaku is pretty cool id like to learn it"",""toovi is pretty cool id like to learn it"",""lukapu is pretty cool id like to learn it""]","[31581.100000023842,52565.299999952316,89686.39999997616]","3","2","true","false","false","false","Domari","false","Lapaku","false","martialArts","right"
"","43013.5","tweet-production","56","371702","0.0-14.0","","lukapu is looking promising in new studies, im curious to see its effectiveness over time","tweet_production","","","","","","","","","","","","89","[""lupaku is looking promising in new studies, im curious to see its effectiveness over time"",""toovi is looking promising in new studies, im curious to see its effectiveness over time"",""lukapu is looking promising in new studies, im curious to see its effectiveness over time""]","[34994.60000002384,38591.10000002384,43013.5]","3","2","true","false","false","false","Toonix","false","Thumaze","false","drugs","left"
"","23832","survey-html-form","57","395535","0.0-15.0","","{""Toonix"":""left"",""Thumaze"":""left"",""Domari"":""neither"",""Lapaku"":""neither"",""contangle"":""right"",""conjaxis"":""right"",""swarmshrouding"":""neither"",""herdblurring"":""neither""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","63755","survey-html-form","58","459291","0.0-16.0","","{""correct"":""Yes"",""political"":""Conservative"",""us_affiliation"":""Republican"",""gender"":""Female"",""age"":""26"",""education"":""Graduated college"",""payment"":""The payment was fair"",""enjoy"":""Worse than the average experiment"",""comments"":""I found this survey to be very difficult, memorizing all of the terms without being tested on them or having time to develop an understanding of them and their definitions was really hard and the memory recall was worse than typical studies I take.""}","demoSurvey","","","","","","","","","","","","","","","","","","","","","","","","","",""
